timestamp,ldr_value
0,804
100,710
200,723
300,847
400,929
500,755
600,631
700,701
800,825
900,868
1000,758
1100,656
1200,671
1300,740
1400,811
1500,731
1600,619
1700,610
1800,784
1900,1072
2000,1111
2100,846
2200,602
2300,654
2400,1008
2500,1263
2600,830
2700,567
2800,659
2900,1072
3000,4095
3100,4095
3200,715
3300,587
3400,707
3500,943
3600,865
3700,630
3800,553
3900,780
4000,1148
4100,4095
4200,825
4300,585
4400,663
4500,1157
4600,1251
4700,944
4800,631
4900,831
5000,1358
5100,1751
5200,1585
5300,666
5400,757
5500,1184
5600,1293
5700,1053
5800,656
5900,630
6000,965
6100,1572
6200,1615
6300,829
6400,703
6500,709
6600,971
6700,839
6800,619
6900,906
7000,864
7100,1232
7200,925
7300,581
7400,551
7500,1170
7600,1665
7700,963
7800,719
7900,4095
8000,1253
8100,1387
8200,959
8300,611
8400,848
8500,1179
8600,1196
8700,759
8800,645
8900,1094
9000,1522
9100,1466
9200,914
9300,656
9400,853
9500,1356
9600,1236
9700,699
9800,640
9900,1077
10000,1597
10100,1498
10200,711
10300,595
10400,926
10500,1405
10600,1084
10700,623
10800,656
10900,1283
11000,1923
11100,1584
11200,959
11300,653
11400,683
11500,746
11600,695
11700,573
11800,777
11900,1363
12000,1734
12100,1313
12200,706
12300,467
12400,580
12500,593
12600,464
12700,662
12800,1008
12900,1104
13000,686
13100,558
13200,505
13300,550
13400,432
13500,467
13600,633
13700,880
13800,801
13900,527
14000,491
14100,750
14200,960
14300,880
14400,627
14500,802
14600,1200
14700,989
14800,656
14900,859
15000,1406
15100,1659
15200,1073
15300,704
15400,1196
15500,2055
15600,2494
15700,1744
15800,935
15900,891
16000,1619
16100,1857
16200,902
16300,1072
16400,2109
16500,2704
16600,2096
16700,1057
16800,918
16900,1857
17000,2526
17100,1402
17200,752
17300,1395
17400,2305
17500,2225
17600,1119
17700,1040
17800,2559
17900,3504
18000,2186
18100,881
18200,998
18300,1596
18400,1776
18500,1233
18600,913
18700,965
18800,1105
18900,1151
19000,933
19100,966
19200,1358
19300,1730
19400,1531
19500,1043
19600,147
19700,1366
19800,1456
19900,936
20000,1037
20100,1808
20200,2193
20300,1469
20400,893
20500,2021
20600,3203
20700,2131
20800,885
20900,1264
21000,2418
21100,2871
21200,1519
21300,854
21400,1764
