timestamp,ldr_value
0,433
100,415
200,466
300,573
400,653
500,678
600,656
700,610
800,588
900,546
1000,445
1100,463
1200,511
1300,580
1400,608
1500,570
1600,556
1700,511
1800,428
1900,390
2000,430
2100,435
2200,499
2300,582
2400,673
2500,626
2600,559
2700,493
2800,497
2900,468
3000,464
3100,551
3200,725
3300,854
3400,752
3500,650
3600,510
3700,464
3800,417
3900,451
4000,543
4100,596
4200,644
4300,604
4400,452
4500,432
4600,399
4700,393
4800,430
4900,559
5000,688
5100,779
5200,720
5300,628
5400,480
5500,432
5600,405
5700,417
5800,486
5900,503
6000,546
6100,473
6200,415
6300,412
6400,415
6500,471
6600,607
6700,835
6800,1146
6900,1121
7000,816
7100,564
7200,425
7300,389
7400,375
7500,431
7600,444
7700,535
7800,496
7900,404
8000,400
8100,446
8200,429
8300,432
8400,614
8500,828
8600,921
8700,753
8800,592
8900,467
9000,447
9100,489
9200,511
9300,560
9400,550
9500,548
9600,496
9700,4095
9800,4095
9900,447
10000,560
10100,762
10200,1068
10300,1215
10400,963
10500,703
10600,591
10700,486
10800,441
10900,432
11000,528
11100,544
11200,592
11300,499
11400,411
11500,419
11600,417
11700,493
11800,656
11900,972
12000,1281
12100,1287
12200,980
12300,677
12400,534
12500,474
12600,450
12700,545
12800,697
12900,782
13000,707
13100,506
13200,445
13300,469
13400,546
13500,699
13600,943
13700,1072
13800,863
13900,645
14000,496
14100,438
14200,449
14300,567
14400,786
14500,836
14600,746
14700,624
14800,497
14900,511
15000,541
15100,739
15200,954
15300,939
15400,752
15500,560
15600,442
15700,529
15800,941
15900,1601
16000,1939
16100,1283
16200,782
16300,4095
16400,511
16500,688
16600,1123
16700,1486
16800,1374
16900,925
17000,578
17100,483
17200,489
17300,605
17400,727
17500,800
17600,689
17700,544
17800,535
17900,592
18000,799
18100,999
18200,1221
18300,1117
18400,841
18500,632
18600,511
18700,522
18800,690
18900,978
19000,1009
19100,784
19200,4095
19300,540
19400,590
19500,812
19600,1191
19700,1680
19800,1300
19900,642
20000,495
20100,565
20200,868
20300,1379
20400,1785
20500,1389
20600,693
20700,656
20800,1631
20900,2631
21000,3963
21100,3712
21200,4095
21300,1045
21400,2886
21500,1186
21600,4095
21700,2507
21800,3516
21900,2288
22000,742
22100,2716
22200,1683
22300,4095
22400,1953
22500,2385
22600,753
22700,720
22800,960
22900,688
23000,496
23100,839
23200,919
23300,499
23400,754
23500,893
23600,4095
23700,623
23800,1296
23900,834
24000,528
24100,726
24200,674
24300,528
24400,1147
24500,1721
24600,733
24700,689
24800,911
24900,4095
25000,685
25100,1268
25200,1059
25300,528
25400,832
25500,979
25600,630
25700,656
25800,1222
25900,998
26000,592
26100,793
26200,834
26300,96
26400,735
26500,1102
26600,656
26700,603
26800,893
26900,806
27000,565
27100,915
27200,1172
27300,631
27400,576
27500,904
27600,711
27700,560
27800,941
27900,1072
28000,469
28100,699
28200,923
28300,1347
28400,679
28500,1431
28600,1014
28700,526
28800,1013
28900,1143
29000,683
29100,684
29200,877
29300,597
29400,686
29500,886
29600,634
29700,642
29800,1070
29900,1013
30000,641
30100,770
30200,1090
30300,725
30400,726
30500,1249
30600,1069
30700,613
30800,801
30900,754
31000,576
31100,822
31200,1235
31300,815
31400,496
31500,707
31600,677
31700,543
31800,775
31900,1171
32000,684
32100,617
32200,869
32300,670
32400,554
32500,1006
32600,1559
32700,656
32800,686
32900,869
33000,677
33100,586
33200,1210
33300,1559
33400,659
33500,560
33600,656
33700,506
33800,562
33900,875
34000,857
34100,491
34200,567
34300,592
34400,449
34500,706
34600,912
34700,511
34800,573
34900,825
35000,706
35100,506
35200,893
35300,923
35400,526
35500,650
35600,953
35700,608
35800,503
35900,730
36000,657
36100,496
36200,752
36300,822
36400,651
36500,691
36600,964
36700,765
36800,572
36900,819
37000,832
37100,585
37200,784
37300,1149
37400,747
37500,574
37600,943
37700,752
37800,541
37900,1040
38000,1216
38100,538
38200,611
38300,877
38400,671
38500,496
38600,871
38700,848
38800,599
38900,735
39000,963
39100,720
39200,609
39300,923
39400,830
39500,507
39600,925
39700,1153
39800,725
39900,624
40000,1136
40100,848
40200,545
40300,998
40400,1072
40500,562
40600,686
40700,1102
40800,762
40900,504
41000,704
41100,720
41200,526
41300,1177
41400,1723
41500,201
41600,817
41700,1170
41800,831
41900,639
42000,1314
42100,1576
42200,649
42300,795
42400,1296
42500,1035
42600,571
42700,1312
42800,1835
42900,614
43000,867
43100,1242
43200,903
43300,619
43400,1770
43500,1761
43600,549
43700,1087
43800,1463
43900,816
44000,656
44100,1535
44200,1239
44300,563
44400,534
44500,837
44600,1017
44700,808
44800,571
44900,535
45000,621
45100,816
45200,931
45300,831
45400,637
45500,560
45600,686
45700,946
45800,999
45900,690
46000,563
46100,665
46200,807
46300,875
46400,899
46500,656
46600,563
46700,665
46800,900
46900,912
47000,644
47100,591
47200,797
47300,914
47400,999
47500,739
47600,555
47700,640
47800,974
47900,987
48000,644
48100,569
48200,848
48300,1485
48400,1674
48500,823
48600,550
48700,813
48800,1278
48900,1095
49000,644
49100,607
49200,974
49300,1610
49400,1861
49500,920
49600,524
49700,701
49800,1111
49900,1068
50000,621
50100,564
50200,853
50300,1292
50400,1562
50500,977
50600,535
50700,719
50800,1108
50900,1013
51000,615
51100,561
51200,962
51300,1859
51400,1870
51500,614
51600,525
51700,816
51800,1055
51900,803
52000,544
52100,616
52200,845
52300,850
52400,958
52500,783
52600,535
52700,528
52800,762
52900,870
53000,592
53100,388
53200,614
53300,645
53400,906
53500,784
53600,558
53700,556
53800,783
53900,833
54000,643
54100,531
54200,645
54300,734
54400,975
54500,983
54600,636
54700,472
54800,661
54900,937
55000,951
55100,671
55200,530
55300,656
55400,848
55500,945
55600,699
55700,490
55800,524
55900,660
56000,670
56100,544
56200,592
56300,736
56400,899
56500,869
56600,608
56700,450
56800,511
56900,599
57000,637
57100,576
57200,501
57300,565
57400,656
57500,658
57600,552
57700,480
57800,530
57900,715
58000,751
58100,537
58200,583
58300,844
58400,1034
58500,807
58600,592
58700,536
58800,703
58900,798
59000,704
59100,575
59200,674
59300,848
59400,966
59500,822
59600,633
59700,546
59800,577
59900,627
60000,630
60100,576
60200,563
60300,662
60400,762
60500,798
60600,697
60700,587
60800,503
60900,537
61000,585
61100,525
61200,556
61300,651
61400,721
61500,723
61600,702
61700,603
61800,550
61900,565
62000,566
62100,543
62200,542
62300,663
62400,735
62500,805
62600,689
62700,592
62800,577
62900,642
63000,592
63100,617
63200,671
63300,644
63400,743
63500,772
63600,643
63700,563
63800,564
63900,627
64000,622
64100,559
64200,592
64300,670
64400,751
64500,721
64600,593
64700,526
64800,592
64900,671
65000,651
65100,566
65200,650
65300,803
65400,869
65500,829
65600,699
65700,608
65800,595
65900,706
66000,672
66100,615
66200,622
66300,685
66400,772
66500,774
66600,647
66700,589
66800,631
66900,689
67000,648
67100,614
67200,652
67300,688
67400,711
67500,645
67600,576
67700,611
67800,720
67900,737
68000,592
68100,698
68200,816
68300,855
68400,669
68500,622
68600,685
68700,806
68800,794
68900,656
69000,602
69100,667
69200,762
69300,715
69400,594
69500,730
69600,995
69700,1069
69800,747
69900,577
70000,866
70100,1310
70200,1168
70300,642
70400,720
70500,1136
70600,1200
70700,801
70800,613
70900,1035
71000,1313
71100,871
71200,607
71300,785
71400,1068
71500,922
71600,623
71700,722
71800,1042
71900,1072
72000,688
72100,667
72200,1152
72300,1602
72400,1168
72500,624
72600,738
72700,1296
72800,1329
72900,640
73000,559
73100,989
73200,1523
73300,1249
73400,598
73500,626
73600,1343
73700,1799
73800,688
73900,590
74000,1088
74100,1524
74200,1150
74300,615
