timestamp,ldr_value
0,3245
100,2928
200,2731
300,2661
400,2494
500,2342
600,2416
700,2602
800,2534
900,2173
1000,2065
1100,2269
1200,2196
1300,1873
1400,2256
1500,2877
1600,2978
1700,2254
1800,2783
1900,3785
2000,2982
2100,2278
2200,2829
2300,3422
2400,3501
2500,2715
2600,2505
2700,3471
2800,3262
2900,2374
3000,2990
3100,3881
3200,3823
3300,2512
3400,3018
3500,4095
3600,3122
3700,2379
3800,3249
3900,4095
4000,3472
4100,2466
4200,4095
4300,3603
4400,2944
4500,4091
4600,3747
4700,2722
4800,4095
4900,3471
5000,2943
5100,3472
5200,2325
5300,3375
5400,3163
5500,2257
5600,2506
5700,2021
5800,2420
5900,2310
6000,2012
6100,2301
6200,2455
6300,2114
6400,2035
6500,2415
6600,2422
6700,2004
6800,2510
6900,2865
7000,2451
7100,2670
7200,3937
7300,3521
7400,2498
7500,3252
7600,3573
7700,2806
7800,2840
7900,4095
8000,3671
8100,2531
8200,3266
8300,3481
8400,2533
8500,3003
8600,4095
8700,3891
8800,2381
8900,3541
9000,4095
9100,2559
9200,2864
9300,4095
9400,4016
9500,2422
9600,3229
9700,4095
9800,2993
9900,2267
10000,3548
10100,3843
10200,2117
10300,2721
10400,3543
10500,2926
10600,2001
10700,3407
10800,4095
10900,2173
11000,2800
11100,4095
11200,4095
11300,2504
11400,2799
11500,4095
11600,2693
11700,2642
11800,4095
11900,3924
12000,2231
12100,3559
12200,4095
12300,2491
12400,2341
12500,4095
12600,3909
12700,1759
12800,3300
12900,4095
13000,2386
13100,3663
13200,4095
13300,3059
13400,2484
13500,4095
13600,3669
13700,2933
13800,4095
13900,4095
14000,2399
14100,3994
14200,4095
14300,2549
14400,2891
14500,3259
14600,2375
14700,2462
14800,4095
14900,4095
15000,1894
15100,3744
15200,4095
15300,1878
15400,3301
15500,4095
15600,4095
15700,2288
15800,3202
15900,3853
16000,2698
16100,2615
16200,2944
16300,2447
16400,3462
16500,4095
16600,2943
16700,2800
16800,3906
16900,2609
17000,2444
17100,3967
17200,3983
17300,2199
17400,2750
17500,4095
17600,3038
17700,1830
17800,4095
17900,4095
18000,1789
18100,2672
18200,3602
18300,2037
18400,3235
18500,4095
18600,4095
18700,2422
18800,2880
18900,3299
19000,2535
19100,2911
19200,3335
19300,2912
19400,2443
19500,3443
19600,3264
19700,2319
19800,2800
19900,2929
20000,2117
20100,3305
20200,4095
20300,3298
20400,1762
20500,2941
20600,2326
20700,1680
20800,3151
20900,3462
21000,2241
21100,3070
21200,3094
21300,2425
21400,2769
21500,3344
21600,2657
21700,2842
21800,3507
21900,3155
22000,2325
22100,2755
22200,2663
22300,2059
22400,2868
22500,3558
22600,2494
22700,1967
22800,3409
22900,2859
23000,1707
23100,3883
23200,3207
23300,1664
23400,2813
23500,4095
23600,2254
23700,2673
23800,3104
23900,2647
24000,2555
24100,3328
24200,2851
24300,2649
24400,3291
24500,2953
24600,2518
24700,3505
24800,4047
24900,2342
25000,2645
25100,2601
25200,1957
25300,2957
25400,2486
25500,1840
25600,2939
25700,2453
25800,1498
25900,2995
26000,3392
26100,2001
26200,2528
26300,2192
26400,2235
26500,3355
26600,3598
26700,2394
26800,2943
26900,2848
27000,2384
27100,2934
27200,3341
27300,2176
27400,2854
27500,2981
27600,2113
27700,2531
27800,3955
27900,2734
28000,2323
28100,3692
28200,3207
28300,2031
28400,2529
28500,2822
28600,2119
28700,3559
28800,4095
28900,2937
29000,2542
29100,3759
29200,2707
29300,2906
29400,3786
29500,3113
29600,2559
29700,2933
29800,2715
